date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:15%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/posts/re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-995d37b5-dd73-4026-a230-f42916315523)
16:27:16	102/102	---MC-	302	error ('Found')	text/html	date:Sat,%2001%20Apr%202017%2022:27:16%20GMT	http://stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-d9e81fcb-3a30-4cfe-9eac-bc7e1b912bc3/reply	stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-d9e81fcb-3a30-4cfe-9eac-bc7e1b912bc3/reply	(from http://stonecolddev.in/posts/re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-995d37b5-dd73-4026-a230-f42916315523)
16:27:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:16%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/users/4)
16:27:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:16%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/posts/re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-8a76baaf-db32-40cb-8852-8dea9e392e82)
16:27:17	102/102	---MC-	302	error ('Found')	text/html	date:Sat,%2001%20Apr%202017%2022:27:17%20GMT	http://stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-320af56f-ab40-4321-984e-dd07ebf4c9c3/reply	stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-320af56f-ab40-4321-984e-dd07ebf4c9c3/reply	(from http://stonecolddev.in/posts/re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres-8a76baaf-db32-40cb-8852-8dea9e392e82)
16:27:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:17%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/users/3)
16:27:17	0/0	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202017%2022:27:17%20GMT	http://stonecolddev.in/assets/categories-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.css	stonecolddev.in/assets/categories-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.css	(from http://stonecolddev.in/categories/tech-help)
16:27:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:17%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/categories/tech-help)
16:27:18	8761/8761	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:18%20GMT	http://stonecolddev.in/categories	stonecolddev.in/categories.html	(from http://stonecolddev.in/categories/tech-help)
16:27:18	26/26	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Apr%202017%2022:27:18%20GMT	http://stonecolddev.in/assets/categories-0b49e5589c0b754795ec3744e394bb16c1bb4934cadb70d2488c99e8fcb8976d.js	stonecolddev.in/assets/categories-0b49e5589c0b754795ec3744e394bb16c1bb4934cadb70d2488c99e8fcb8976d.js	(from http://stonecolddev.in/categories/tech-help)
